"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2012","11th & Columbia Playground","1001 Cecil B Moore Ave","19122","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","1 to 4","Single Loc","26"
"2012","1501 Progress Cleaners","1501 N Broad St","19122","Verified","721201","Cleaners","81232002","Drycleaning And Laundry Services (Except Coin-Oper","1 to 4","Single Loc","15"
"2012","703 Medical Diagnostic Ctr","703 Cecil B Moore Ave","19122","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","40"
"2012","703 Medical Diagnostic Ctr","703 Cecil B Moore Ave","19122","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","5 to 9","Single Loc","42"
"2012","76 Carriage Co","1648 N Hancock St","19122","Verified","799968","Stables","71399050","All Other Amusement And Recreation Industries","1 to 4","Single Loc","18"
"2012","8th & Diamond Playground","2032 N 8th St","19122","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","5 to 9","Single Loc","42"
"2012","900 Diamond Inc","901 Diamond St","19122","Verified","544101","Candy & Confectionery-Retail","44529202","Confectionery And Nut Retailers","1 to 4","Single Loc","17"
"2012","A Plus Insurance Outlet","139 W Susquehanna Ave","19122","Verified","641112","Insurance","52421001","Insurance Agencies And Brokerages","1 to 4","Single Loc","20"
"2012","Abs Cleaning Svc","1300 N Front St","19122","Verified","152114","Fire Damage Restoration","23611813","Residential Remodelers","5 to 9","Single Loc","42"
"2012","Acelero","1414 N 10th St","19122","Verified","874825","Educational Consultants","61171012","Educational Support Services","1 to 4","Single Loc","15"
"2012","Achievement Through Counseling","1745 N 4th St","19122","Verified","839901","Drug Abuse & Addiction Info & Treatment","81331904","Other Social Advocacy Organizations","20 to 49","Single Loc","42"
"2012","Adriatic Grill","1835 N 12th St # 4","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","17"
"2012","Adult Anxiety Clinic Of Temple","1701 N 13th St","19122","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","10 to 19","Single Loc","20"
"2012","Affordable Plumbing","1704 N 2nd St","19122","Verified","171102","Heating Contractors","23822020","Plumbing, Heating, And Air-Conditioning Contractor","10 to 19","Single Loc","42"
"2012","Agramonte Grocery","642 Diamond St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","15"
"2012","Aim Security","1706 N 2nd St","19122","Verified","506304","Security Control Equip & Systems-Whls","42361063","Electrical Apparatus And Equipment, Wiring Supplie","5 to 9","Single Loc","26"
"2012","Al's Auto Clinic","150 W Thompson St","19122","Verified","753801","Automobile Repairing & Service","81111104","General Automotive Repair","1 to 4","Single Loc","42"
"2012","Al-Aqsa Islamic School","1501 Germantown Ave","19122","Verified","821101","Religious Schools","61111004","Elementary And Secondary Schools","20 to 49","Single Loc","29"
