"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Year Established"
"2017","King Emergency Locksmith Rdsd","1503 N Broad St","19122","Verified","754904","Roadside Assistance","48841001","Motor Vehicle Towing","1 to 4","Single Loc","12",""
"2017","Kitchen Sink Fabrication","1714 N Mascher St # 1","19122","Verified","792212","Theatrical Equipment & Supplies","53249013","Other Commercial And Industrial Machinery And Equi","1 to 4","Single Loc","26","2000"
"2017","Kitsch-N-Kaboodle","1513 N Hancock St","19122","Verified","571216","Furniture-Dealers-Retail","44911012","Furniture Retailers","1 to 4","Single Loc","13",""
"2017","Knowels Garage Doors Repaired","1301 N 6th St","19122","Verified","175107","Garage Doors-Repairing","23835007","Finish Carpentry Contractors","1 to 4","Single Loc","11",""
"2017","Koo Zee Doo","1307 N 4th St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Single Loc","17",""
"2017","Kristina Pizza","1901 N Mascher St","19122","Verified","581222","Pizza","72251115","Full-Service Restaurants","1 to 4","Single Loc","31",""
"2017","Kucharski, Katheryn","136 Diamond St","19122","Verified","832221","Social Workers","62133003","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","10",""
"2017","Kurths Sea Food","901 W Susquehanna Ave","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","22",""
"2017","L & M Auto Repair","1404 N 7th St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","24",""
"2017","L Cruz Development LLC","127 W Susquehanna Ave","19122","Verified","999966","Federal Government Contractors","99999005","Unclassified Establishments","5 to 9","Single Loc","13",""
"2017","L J Auto Body","1907 N 2nd St","19122","Verified","753201","Automobile Body-Repairing & Painting","81112102","Automotive Body, Paint, And Interior Repair And Ma","1 to 4","Single Loc","18",""
"2017","L T Laundromat","184 Diamond St","19122","Verified","721101","Laundries","81232001","Drycleaning And Laundry Services (Except Coin-Oper","1 to 4","Single Loc","19",""
"2017","LA Joya Grocery Store","1500 N 4th St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","29",""
"2017","LA Me Naj Hair Care Specialist","1618 N Randolph St","19122","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","19",""
"2017","LA Preciosa","2111 Germantown Ave","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","14",""
"2017","Lagan Properties LLC","1319 N Franklin St","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","13",""
"2017","Lam Kee Enterprises","1413 Germantown Ave","19122","Verified","422509","Warehouses","49311006","General Warehousing And Storage","10 to 19","Single Loc","20",""
"2017","Lamp Factory","1700 N 5th St","19122","Verified","571927","Lamps & Lamp Shades-Retail","44912942","All Other Home Furnishings Retailers","1 to 4","Single Loc","13",""
"2017","Language Of Wine","2020 N 13th St # Ah120","19122","Verified","592103","Wines-Retail","44532005","Beer, Wine, And Liquor Retailers","5 to 9","Single Loc","11",""
"2017","Lantigua Grocery","1701 N 3rd St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","15",""
"2017","Lee's Limousines","","19122","Verified","411903","Limousine Service","48532002","Limousine Service","5 to 9","Single Loc","12",""
"2017","Libertad Lounge","1601 N 5th St","19122","Verified","581301","Bars","72241001","Drinking Places (Alcoholic Beverages)","1 to 4","Single Loc","21",""
"2017","Liberty Choice","1939 N Front St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","14","2012"
"2017","Liquid Room Restaurant & Bar","1361 N 2nd St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","13",""
"2017","Liu, Yi","1537 N 7th St","19122","Verified","804918","Physical Therapists","62134007","Offices Of Physical, Occupational And Speech Thera","1 to 4","Single Loc","10",""
"2017","Liz Kinder Ceramics","111 W Norris St","19122","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","14",""
"2017","M F 426 Full Svc Inspection","1919 N 2nd St","19122","Verified","554101","Service Stations-Gasoline & Oil","45712003","Other Gasoline Stations","1 to 4","Single Loc","15",""
