"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Year Established"
"2017","100 West Oxford Street Prtnrs","100 W Oxford St","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","12",""
"2017","11th & Columbia Playground","1001 Cecil B Moore Ave","19122","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","5 to 9","Single Loc","26",""
"2017","1309-11 N Lawrence St Condo","1309 N Lawrence St","19122","Verified","655202","Real Estate Developers","23721005","Land Subdivision","5 to 9","Single Loc","17",""
"2017","1801 N 10th Street Assoc LP","1801 N 10th St","19122","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","13",""
"2017","1st & Fresh Catering","1626 N American St","19122","Verified","581212","Caterers","72232001","Caterers","20 to 49","Single Loc","15",""
"2017","32 Lofts","1701 N 6th St","19122","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","13",""
"2017","7-Eleven","1912 Liacouras Walk","19122","Verified","541103","Convenience Stores","44513101","Convenience Retailers","5 to 9","Branch","14",""
"2017","703 Medical Diagnostic Ctr","703 Cecil B Moore Ave","19122","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","40",""
"2017","703 Medical Diagnostic Ctr","703 Cecil B Moore Ave","19122","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","5 to 9","Single Loc","42",""
"2017","8th & Diamond Playground","2032 N 8th St","19122","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","5 to 9","Single Loc","34",""
"2017","A P M","600 Diamond St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","12",""
"2017","ABC Capital Investment","1218 N Marshall St","19122","Verified","628203","Financial Advisory Services","52394006","Portfolio Management And Investment Advice","5 to 9","Single Loc","15",""
"2017","Achievement Through Couseling","1745 N 4th St","19122","Verified","839901","Drug Abuse & Addiction Info & Treatment","81331904","Other Social Advocacy Organizations","20 to 49","Single Loc","33",""
"2017","Action Mill LLC","1227 N 4th St","19122","Verified","874899","Consultants-Business NEC","54161830","Other Management Consulting Services","1 to 4","Single Loc","14",""
