"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Year Established"
"2022","Holodec","1516 N 5th St # 102","19122","Verified","799999","Amusement & Recreation NEC","71399002","All Other Amusement And Recreation Industries","","Single Loc","4",""
"2022","Hommy Towing & Automtv Repair","2121 N American St","19122","Verified","754901","Wrecker Service","48841006","Motor Vehicle Towing","1 to 4","Single Loc","17",""
"2022","Honeygrow","1601 N Front St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","8",""
"2022","Honeygrow","1601 N Broad St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","10",""
"2022","Honeygrow Restaurant Org LP","1601 N Front St","19122","Verified","581220","Restaurant Management","72231009","Food Service Contractors","20 to 49","Headquarter","11","2012"
"2022","Hope Street LLC","100 W Oxford St # E1600","19122","Verified","836105","Residential Care Homes","62331206","Assisted Living Facilities For The Elderly","5 to 9","Single Loc","12",""
"2022","Hostile City Industries","1600 N 5th St","19122","Verified","399903","Manufacturers","33999936","All Other Miscellaneous Manufacturing","10 to 19","Single Loc","11",""
"2022","Howard Field","N 13th St","19122","Verified","794104","Stadiums Arenas & Athletic Fields","71131003","Promoters Of Performing Arts, Sports, And Similar","100 to 249","Single Loc","7",""
"2022","Hubble Bubble Hookah Lounge","1000 Diamond St","19122","Verified","581301","Bars","72241001","Drinking Places (Alcoholic Beverages)","5 to 9","Single Loc","12",""
"2022","Hutec Engineering Inc","304 W Master St","19122","Verified","871106","Engineers","54133006","Engineering Services","20 to 49","Single Loc","9",""
"2022","Huynh, Katherine J","820 W Thompson Street","19122","Verified","804920","Physicians Assistants","62139932","Offices Of All Other Miscellaneous Health Practiti","","Single Loc","5",""
"2022","Hwang, Insung","1717 N 12th St # Stunitf","19122","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","6",""
"2022","Hybrid Construction","1709 N Howard St","19122","Verified","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","11","2010"
"2022","Hyperion Bank","1201 N 2nd St","19122","Verified","602201","State Commercial Banks","52211005","Commercial Banking","1 to 4","Single Loc","7",""
