"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Year Established"
"2022","Rj Peters & Assoc PC","1422 N 2nd St","19122","Verified","811103","Attorneys","54111002","Offices Of Lawyers","5 to 9","Single Loc","7","2005"
"2022","Rnd Tax Svc","1706 N 2nd St","19122","Verified","729101","Tax Return Preparation & Filing","54121301","Tax Preparation Services","1 to 4","Single Loc","9",""
"2022","Rocky's Auto Repair LLC","1768 N Front St","19122","Verified","753801","Automobile Repairing & Service","81111104","General Automotive Repair","1 to 4","Single Loc","14",""
"2022","Rodriguez Consulting LLC","1301 N 2nd St","19122","Verified","871110","Engineers-Civil","54133014","Engineering Services","20 to 49","Single Loc","14","2007"
"2022","Rohr Chabad At Temple Univ","1521 Dondill Pl","19122","Verified","866149","Synagogues Lubavitch Chabad","81311049","Religious Organizations","1 to 4","Single Loc","15",""
"2022","Rolle, Ricquel R","1415 N Broad St","19122","Verified","832282","Counselors","62419036","Other Individual And Family Services","","Single Loc","4",""
"2022","Rona Fisher Jewelry Design Inc","1400 N American St # 201","19122","Verified","594408","Jewelry Designers","45831012","Jewelry Retailers","1 to 4","Single Loc","34","1991"
"2022","Rosemary N Crew","1601 N 12th St","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","10",""
"2022","Rosmand Properties Properties","1320 N Franklin St","19122","Verified","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","7","2019"
"2022","Rossi Brothers","1805 N Howard St","19122","Verified","243401","Cabinets-Manufacturers","33711003","Wood Kitchen Cabinet And Countertop Manufacturing","5 to 9","Single Loc","39","1905"
"2022","Rpm Builders","1501 N 2nd St","19122","Verified","152103","General Contractors","23611505","New Single-Family Housing Construction (Except For","5 to 9","Single Loc","12",""
"2022","S & S Express Insurance","1206 N 5th St","19122","Verified","641112","Insurance","52421001","Insurance Agencies And Brokerages","1 to 4","Single Loc","15",""
"2022","S A M 1 Enterprises Inc","1000 Diamond St # 102-104","19122","Verified","541103","Convenience Stores","44513101","Convenience Retailers","1 to 4","Single Loc","12",""
"2022","Sacko Services","1300 W Jefferson St","19122","Verified","899999","Services NEC","54199009","All Other Professional, Scientific, And Technical","1 to 4","Single Loc","13",""
"2022","Safeguard Self Storage","1221 N Broad St","19122","Verified","422503","Storage-Household & Commercial","53113001","Lessors Of Miniwarehouses And Self-Storage Units","1 to 4","Branch","22","1989"
