Version Year,Company Name,Address,ZIP Code,Record Type,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Year Established
2022,1309-11 N Lawrence St Condo,1309 N Lawrence St,19122,Verified,655202,Real Estate Developers,23721005,Land Subdivision,5 to 9,Single Loc,17,
2022,1801 N 10th Street Assoc LP,1801 N 10th St,19122,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,5 to 9,Single Loc,13,
2022,215 Marketing,1516 N 5th St # 309,19122,Verified,874213,Marketing Programs & Services,54161303,Marketing Consulting Services,10 to 19,Single Loc,11,
2022,2u Imports Corp,1603 N 5th St,19122,Verified,509905,Importers (Whls),42399019,Other Miscellaneous Durable Goods Merchant Wholesa,5 to 9,Single Loc,9,
2022,365 Fitness Loft LLC,1855 N 5th St,19122,Verified,799101,Health Clubs Studios & Gymnasiums,71394011,Fitness And Recreational Sports Centers,5 to 9,Single Loc,6,2020
2022,50 Shades Nail LLC,1633 N 2nd St,19122,Verified,723102,Manicuring,81211302,Nail Salons,1 to 4,Single Loc,4,2022
2022,7-Eleven,1912 Liacouras Walk,19122,Verified,541103,Convenience Stores,44513101,Convenience Retailers,10 to 19,Branch,14,
2022,703 Medical Diagnostic Ctr,703 Cecil B Moore Ave,19122,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,40,
2022,703 Medical Diagnostic Ctr,703 Cecil B Moore Ave,19122,Verified,801104,Clinics,62111129,Offices Of Physicians (Except Mental Health Specia,5 to 9,Single Loc,42,
2022,76 Carriage Co,1648 N Hancock St,19122,Verified,799968,Stables,71399050,All Other Amusement And Recreation Industries,1 to 4,Single Loc,18,
2022,99 Adult Daycare II Inc,1533 N 7th St,19122,Verified,999966,Federal Government Contractors,99999005,Unclassified Establishments,5 to 9,Single Loc,6,
2022,ABC Capital Investment,1218 N Marshall St,19122,Verified,628203,Financial Advisory Services,52394006,Portfolio Management And Investment Advice,5 to 9,Single Loc,15,
2022,Abs Cleaning Svc,1300 N Front St,19122,Verified,152114,Fire Damage Restoration,23611813,Residential Remodelers,20 to 49,Single Loc,15,
2022,Acelero Learning Camden,900 W Jefferson St,19122,Verified,829972,Education Centers,61171001,Educational Support Services,1 to 4,Single Loc,8,2018
2022,Achievement Through Couseling,1745 N 4th St,19122,Verified,832201,Counseling Services,62411004,Child And Youth Services,20 to 49,Single Loc,33,
2022,Achieving Independence Ctr,1415 N Broad St # 100,19122,Verified,832222,Youth Organizations & Centers,62411006,Child And Youth Services,20 to 49,Branch,23,2008
2022,Action Mill LLC,1227 N 4th St,19122,Verified,874899,Consultants-Business NEC,54161830,Other Management Consulting Services,1 to 4,Single Loc,14,
2022,Adair Electric,1312 N Franklin St # 3,19122,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,1 to 4,Single Loc,14,
2022,Aim Security,1706 N 2nd St,19122,Verified,738102,Security Guard & Patrol Service,56161208,Security Guards And Patrol Services,10 to 19,Single Loc,14,
2022,Air Plant Supply Co,1701 N 10th St,19122,Verified,539901,General Merchandise-Retail,45521908,All Other General Merchandise Retailers,1 to 4,Single Loc,9,
2022,Al-Aqsa Islamic School,1501 Germantown Ave,19122,Verified,821103,Schools,61111007,Elementary And Secondary Schools,20 to 49,Single Loc,29,1996
2022,Al-Aqsa Islamic Society,1501 Germantown Ave,19122,Verified,866137,Mosques Muslim-Islamic Charitable-Orgztn,81311036,Religious Organizations,20 to 49,Single Loc,15,
2022,Alamodak Restaurant,161 Cecil B Moore Ave,19122,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,9,1999
2022,All Places Abstract,2117 N American St,19122,Verified,654102,Title Companies,54119106,Title Abstract And Settlement Offices,5 to 9,Single Loc,12,
2022,Allen's Furniture Store,2161 N 6th St,19122,Verified,571216,Furniture-Dealers-Retail,44911012,Furniture Retailers,1 to 4,Single Loc,15,
2022,Allure Window Treatments LLC,1619 N American St,19122,Verified,571969,Window Treatments,44912970,All Other Home Furnishings Retailers,10 to 19,Single Loc,17,2007
2022,Almonte Family Grocery,1770 N Mascher St,19122,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,10,
