Version Year,Company Name,Address,ZIP Code,Record Type,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database
2017,1400 N 15 St LLC,1415 W Jefferson St,19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15
2017,1400 N 15 St LLC,1621 W Oxford St,19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15
2017,1428 W Columbia Ave LLC,1428 Cecil B Moore Ave,19121,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,5 to 9,Single Loc,17
2017,1525 N 17th St Investment,1525 N 17th St,19121,Verified,621109,Investment Bankers,52315001,Investment Banking And Securities Intermediation,5 to 9,Single Loc,12
2017,1600 Broad Assoc,1600 N Broad St,19121,Verified,811103,Attorneys,54111002,Offices Of Lawyers,5 to 9,Single Loc,16
2017,1627 French St LLC,2025 N 15th St,19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15
2017,1902 Holdings LLC,1902 N 18th St,19121,Verified,671901,Holding Companies (Non-Bank),55111201,Offices Of Other Holding Companies,1 to 4,Single Loc,11
2017,1934 Gratz LLC,1934 N Gratz St,19121,Verified,653108,Real Estate Management,53121005,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,17
2017,22nd Mini Market,2201 W Oxford St,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,26
2017,24 Hour Sunrise Childcare Svc,1813 N 21st St,19121,Verified,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,15
2017,247 Gold,2015 N 29th St,19121,Verified,594411,Gold Silver & Platinum-Dealers,45831009,Jewelry Retailers,1 to 4,Single Loc,13
2017,33rd Sunoco,1701 N 33rd St,19121,Verified,554101,Service Stations-Gasoline & Oil,45712003,Other Gasoline Stations,5 to 9,Branch,13
2017,7-Eleven,2034 N Broad St,19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,5 to 9,Branch,12
2017,7-Eleven,1501 Cecil B Moore Ave,19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,1 to 4,Branch,22
2017,A & B Auto Repairs,2042 N Van Pelt St,19121,Verified,753801,Automobile Repairing & Service,81111104,General Automotive Repair,1 to 4,Single Loc,42
2017,A M Electric Inc,,19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,1 to 4,Single Loc,11
2017,A M Electric Inc,3111 Morse St,19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,5 to 9,Single Loc,15
2017,A Mother's Touch Daycare,1923 Cecil B Moore Ave,19121,Verified,835101,Child Care Service,62441003,Child Care Services,10 to 19,Single Loc,10
2017,AAA Roadside Assistance,1754 N 26th St,19121,Verified,754904,Roadside Assistance,48841001,Motor Vehicle Towing,1 to 4,Single Loc,12
2017,Academic Center-Early Success,1801 N 26th St,19121,Verified,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,19
2017,Ace Cash Express,2129 W Diamond St,19121,Verified,614113,Payday Loans,52229111,Consumer Lending,1 to 4,Branch,38
2017,Ace Check Exchange Inc,2235 Cecil B Moore Ave,19121,Verified,609903,Check Cashing Service,52232003,"Financial Transactions Processing, Reserve, And Cl",1 to 4,Single Loc,42
2017,Ace Discount,2135 W Diamond St,19121,Verified,516916,Chemicals (Whls),42469020,Other Chemical And Allied Products Merchant Wholes,1 to 4,Single Loc,33
2017,Acelero Camden Phila Inc,1801 N 23rd St,19121,Verified,835107,Head Start,62441008,Child Care Services,100 to 249,Single Loc,13
2017,Acts Recovery House,1428 N 28th St,19121,Verified,839901,Drug Abuse & Addiction Info & Treatment,81331904,Other Social Advocacy Organizations,5 to 9,Single Loc,25
2017,Adam Analysis & Logic LLC,2111 W Master St,19121,Verified,865101,Political Organizations,81394003,Political Organizations,1 to 4,Single Loc,16
2017,Adjidja African Hair Braiding,1230 N Broad St,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,26
2017,Advanced Transportation Co,1445 N 32nd St,19121,Verified,421401,Movers,48411009,"General Freight Trucking, Local",20 to 49,Branch,42
2017,Afifa,1422 W Susquehanna Ave,19121,Verified,533101,Variety Stores,45521903,All Other General Merchandise Retailers,1 to 4,Single Loc,17
2017,"Ahye, Nicholas MD",6 Brewerytown Ct,19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,11
2017,All Garage Repair Svc,2815 Ridge Ave,19121,Verified,175107,Garage Doors-Repairing,23835007,Finish Carpentry Contractors,5 to 9,Single Loc,11
2017,All Season Deli,1216 N Broad St,19121,Verified,581209,,,,1 to 4,Single Loc,20
2017,Alliance Of Black Social Wrkrs,1924 W Diamond St,19121,Verified,863101,Labor Organizations,81393001,Labor Unions And Similar Labor Organizations,5 to 9,Single Loc,25
2017,Allied Universal,1538 Cecil B Moore Ave,19121,Verified,738103,Armored Car Service,56161301,Armored Car Services,1 to 4,Branch,14
2017,Alpha & Omega Painting Inc,1509 N Hollywood St,19121,Verified,174203,Dry Wall Contractors,23831003,Drywall And Insulation Contractors,1 to 4,Single Loc,12
2017,Amc Broadstreet 7,1600 N Broad St,19121,Verified,783201,Theatres-Movie,51213101,Motion Picture Theaters (Except Drive-Ins),50 to 99,Branch,10
2017,Amos Playground,1817 N 16th St,19121,Verified,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,10 to 19,Single Loc,34
2017,Andrew H Lawson Co,2927 W Thompson St,19121,Verified,275202,Printers (Mfrs),32311109,Commercial Printing (Except Screen And Books),10 to 19,Single Loc,26
2017,"Andros, David MD",1509 N 17th St,19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,14
2017,Angie B Photo,1242 N Hollywood St,19121,Verified,733501,Photographers-Commercial,54192204,Commercial Photography,1 to 4,Single Loc,10
2017,Anns Nails,2234 Ridge Ave,19121,Verified,723102,Manicuring,81211302,Nail Salons,1 to 4,Single Loc,19
2017,Argo Trans Intl,1531 N 16th St,19121,Verified,874201,Business Management Consultants,54161401,"Process, Physical Distribution, And Logistics Cons",1 to 4,Single Loc,14
