"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2012","In Touch Medical","2109 W Diamond St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","36"
"2012","Infinite Comm Inc","2314 Cecil B Moore Ave","19121","Verified","593201","Book Dealers-Used & Rare","45951008","Used Merchandise Retailers","1 to 4","Single Loc","16"
"2012","Intergen Management Systems","1240 N Myrtlewood St","19121","Verified","655202","Real Estate Developers","23721005","Land Subdivision","1 to 4","Single Loc","42"
"2012","Interstate Blood Bank Inc","1250 N Broad St # 52","19121","Verified","809916","Blood & Organ Banks & Centers","62199101","Blood And Organ Banks","10 to 19","Single Loc","33"
"2012","J & H Fuel Oil Co","1610 N 26th St","19121","Verified","517206","Oils-Fuel (Whls)","42472014","Petroleum And Petroleum Products Merchant Wholesal","1 to 4","Single Loc","42"
"2012","J & J Angel Child Care","2211 W Berks St","19121","Verified","835101","Child Care Service","62441003","Child Care Services","1 to 4","Single Loc","17"
"2012","J C Food Market","1220 N Broad St # 2","19121","Verified","581209","","","","1 to 4","Single Loc","36"
"2012","Jack Hassler Co Inc","1619 W Thompson St","19121","Verified","179919","Steeple Jacks","23829022","Other Building Equipment Contractors","1 to 4","Single Loc","38"
"2012","Jarosh, Samara L MD","1900 N 20th St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","21"
"2012","Jefferson Food Market","1501 N 29th St","19121","Verified","541101","Grocers-Delicatessen","44511001","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","17"
"2012","Jian L Zhang Restaurant","2034 N 22nd St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Single Loc","31"
"2012","Jim's Multi Svc Inc","2222 Ridge Ave","19121","Verified","872105","Tax Consultants","54121910","Other Accounting Services","1 to 4","Single Loc","21"
"2012","Jimmy John's","1601 N 15th St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Branch","19"
"2012","Jmp Laundromat","2121 W Diamond St","19121","Verified","721501","Laundries-Self Service","81231001","Coin-Operated Laundries And Drycleaners","1 to 4","Single Loc","19"
