"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"100 Black Men Of Philadelphia","2300 W Master St # 1","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.976239","-075.174217"
"1220 Lindley Avenue Assoc LLC","2101 N College Ave","19121","1220 LINDLEY AVENUE ASSOC LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975227","-075.171211"
"1496 Bushwick LLC","2101 N College Ave","19121","1496 BUSHWICK LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975227","-075.171211"
"1518 Loudon LLC","2026 Ridge Ave","19121","1518 LOUDON LLC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","12","2,500 - 4,999","039.976045","-075.169080"
"1530 Ridge LLC","2026 Ridge Ave # 2","19121","1530 RIDGE LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"16th Associates LLC","2101 N College Ave","19121","16TH ASSOCIATES LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975227","-075.171211"
"1985 LLC","2026 Ridge Ave # 4","19121","1985 LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"2048 St Inc","2048 Ridge Ave","19121","2048 ST INC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","4","","039.976574","-075.169336"
"2111 Seybert LLC","2111 W Seybert St","19121","2111 SEYBERT LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975645","-075.170902"
"2245 W Thompson Street Condo","2245 W Thompson St","19121","2245 W THOMPSON STREET CONDOMINIUM ASSN","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.975214","-075.173443"
"2323 Jefferson St","2323 W Jefferson St","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.978147","-075.173577"
"2434 W Thompson Street","2434 W Thompson St","19121","2434 W THOMPSON STREET HOMEOWNERS' ASSN","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.975341","-075.176656"
"2448 Master Inc","2448 W Master St","19121","2448 MASTER INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976679","-075.176478"
"25 Bar Inc","2448 W Master St","19121","25 BAR INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976679","-075.176478"
"257 Sharpnack LLC","2026 Ridge Ave","19121","257 SHARPNACK LLC","Unverified","Sharswood","2","","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","12","1,500 - 2,499","039.976045","-075.169080"
"2645 Jefferson LLC","2026 Ridge Ave","19121","2645 JEFFERSON LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"3632 Sydenham LLC","2026 Ridge Ave","19121","3632 SYDENHAM LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"3838 Brown LLC","2026 Ridge Ave","19121","3838 BROWN LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"4501 Frankford Ave Assoc LLC","2101 N College Ave # H2","19121","4501 FRANKFORD AVE ASSOC LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975227","-075.171211"
"4545 Uber LLC","2026 Ridge Ave","19121","4545 UBER LLC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","12","2,500 - 4,999","039.976045","-075.169080"
"4th Quarter Construction Inc","2438 W Seybert St","19121","4TH QUARTER CONSTRUCTION INC","Unverified","Sharswood","2","","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","4","","039.975869","-075.176259"
"5041 Wade LLC","2026 Ridge Ave","19121","5041 WADE LLC","Unverified","Sharswood","2","","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","12","1,500 - 2,499","039.976045","-075.169080"
"5101 North Twelfth Street Assc","2101 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975227","-075.171211"
"6039 Norwood LLC","2026 Ridge Ave","19121","6039 NORWOOD LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"6055 Haverford LLC","2026 Ridge Ave","19121","6055 HAVERFORD LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976045","-075.169080"
"7015 Roosevelt LLC","2048 Ridge Ave","19121","7015 ROOSEVELT LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","11","1 - 1,499","039.976574","-075.169336"
"806 Moyer St LLC","2207 W Thompson St # 1","19121","806 MOYER ST LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.975080","-075.172381"
"A & G Capital Group LLC","2215 W Thompson St","19121","A & G CAPITAL GROUP LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975106","-075.172601"
"A Morgan & Son Inc","2050 Ridge Ave","19121","A MORGAN & SON INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976741","-075.169369"
"AACC","2442 W Seybert St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.975880","-075.176359"
"Aasimah's Blessed Hands LLC","2344 Sharswood St","19121","AASIMAH'S BLESSED HANDS LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.977120","-075.174658"
"Adam Analysis & Logic LLC","2111 W Master St","19121","ATOM ANALYSIS & LOGIC LLC","Unverified","Sharswood","2","","865101","Political Organizations","81394003","Political Organizations","1 to 4","Single Loc","16","1,500 - 2,499","039.976165","-075.170686"
"Aesthetic Concepts Inc","2123 W Master St","19121","AESTHETIC CONCEPTS INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.976224","-075.171097"
"Agricultural Hut LLC","2130 W Master St","19121","AGRICULTURAL HUT LLC","Unverified","Sharswood","2","","013901","Agricultural Products","11199801","All Other Miscellaneous Crop Farming","5 to 9","Single Loc","4","","039.975943","-075.171221"
"Ah Cornerstone Invstmnt Group","2331 N College Ave","19121","","Unverified","Sharswood","2","","621111","Investments","52391001","Miscellaneous Intermediation","1 to 4","Single Loc","4","","039.974755","-075.174696"
