version_year,company_name,address,zip_code,record_type,primary_sic_code,primary_sic_description,primary_naics,primary_naics_description,location_employee_size_range,location_type,years_in_database,latitude,longitude
2022,1400 N 15 St LLC,"1415 W Jefferson St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15,39.9760904,-75.1596614
2022,1525 N 17th St Investment,"1525 N 17th St, Philadelphia, PA 19121",19121,Verified,653104,Real Estate Investments,53121004,Offices Of Real Estate Agents And Brokers,5 to 9,Single Loc,12,39.9772744,-75.162915
2022,1530 N 17th St Investments LLC,"1530 N 17th St, Philadelphia, PA 19121",19121,Verified,653104,Real Estate Investments,53121004,Offices Of Real Estate Agents And Brokers,5 to 9,Single Loc,11,39.977494,-75.1633478
2022,1600 Broad Assoc,"1600 N Broad St, Philadelphia, PA 19121",19121,Verified,811103,Attorneys,54111002,Offices Of Lawyers,5 to 9,Single Loc,16,39.9774961,-75.1584795
2022,1627 French St LLC,"1855 N 17th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15,39.9821783,-75.1618513
2022,1776,"1410 N 31st St Frnt, Philadelphia, PA 19121",19121,Verified,874201,Business Management Consultants,54161401,"Process, Physical Distribution, And Logistics Cons",1 to 4,Headquarter,9,NA,NA
2022,1902 Holdings LLC,"1902 N 18th St, Philadelphia, PA 19121",19121,Verified,671901,Holding Companies (Non-Bank),55111201,Offices Of Other Holding Companies,1 to 4,Single Loc,11,39.9826937,-75.1637564
2022,2 Much Sauce Kicks,"2132 Ridge Ave, Philadelphia, PA 19121",19121,Verified,514909,Condiments & Sauces (Whls),42449019,Other Grocery And Related Products Merchant Wholes,5 to 9,Single Loc,5,39.978699,-75.170323
2022,20 St Grocery Store,"1946 W Diamond St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,18,39.9858209,-75.1656398
2022,2038 18th St LLC,"2038 N 18th St, Philadelphia, PA 19121",19121,Verified,599999,Miscellaneous Retail Stores NEC,45521993,All Other General Merchandise Retailers,1 to 4,Single Loc,15,39.9850617,-75.1632402
