version_year,company_name,address,zip_code,record_type,primary_sic_code,primary_sic_description,primary_naics,primary_naics_description,location_employee_size_range,location_type,years_in_database,latitude,longitude
2012,1216 Sarah's Inc,"1216 N 29th St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,10 to 19,Single Loc,16,39.975138,-75.1835724
2012,1220 Apartments,"1220 N Broad St # 302, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,10 to 19,Single Loc,42,NA,NA
2012,1260 Housing Development Corp,"1704 N 16th St, Philadelphia, PA 19121",19121,Verified,154213,Building Contractors,23622005,Commercial And Institutional Building Construction,1 to 4,Single Loc,15,39.9795951,-75.1612863
2012,1400 N 15 St LLC,"1415 W Jefferson St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,1 to 4,Single Loc,15,39.9760904,-75.1596614
2012,1400 N 15 St LLC,"1621 W Oxford St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,1 to 4,Single Loc,15,39.9780161,-75.1624385
2012,1600 Broad Assoc,"1600 N Broad St, Philadelphia, PA 19121",19121,Verified,811103,Attorneys,54111002,Offices Of Lawyers,1 to 4,Single Loc,19,39.9774961,-75.1584795
2012,1627 French St LLC,"1855 N 17th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,1 to 4,Single Loc,15,39.9821783,-75.1618513
2012,1627 French St LLC,"2025 N 15th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,1 to 4,Single Loc,15,39.9840609,-75.1582347
2012,1719 Fontain LLC,"1719 Fontain St, Philadelphia, PA 19121",19121,Verified,506324,Burglar Alarm Systems (Whls),42361007,"Electrical Apparatus And Equipment, Wiring Supplie",1 to 4,Single Loc,17,39.9849376,-75.1620903
2012,1838 Associates,"1838 N 18th St, Philadelphia, PA 19121",19121,Verified,653113,Real Estate-Rental Service,53121006,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,15,39.9821702,-75.1639222
2012,1934 Gratz LLC,"1934 N Gratz St, Philadelphia, PA 19121",19121,Verified,506324,Burglar Alarm Systems (Whls),42361007,"Electrical Apparatus And Equipment, Wiring Supplie",1 to 4,Single Loc,17,39.9835044,-75.1643898
2012,20 St Grocery Store,"1946 W Diamond St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,18,39.9858209,-75.1656398
2012,2038 18th St LLC,"2038 N 18th St, Philadelphia, PA 19121",19121,Verified,599999,Miscellaneous Retail Stores NEC,45521993,All Other General Merchandise Retailers,1 to 4,Single Loc,15,39.9850617,-75.1632402
2012,22nd Mini Market,"2201 W Oxford St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,26,39.9791422,-75.1713241
2012,2700 Diamond Development Co,"2729 W Diamond St # 9, Philadelphia, PA 19121",19121,Verified,839998,Non-Profit Organizations,81331908,Other Social Advocacy Organizations,1 to 4,Single Loc,20,NA,NA
2012,29 Oxford Restaurant,"2843 W Oxford St, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,27,39.9805428,-75.18203
2012,7-Eleven,"1501 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,1 to 4,Branch,22,39.9790106,-75.1596076
2012,A & B Auto Repairs,"2042 N Van Pelt St, Philadelphia, PA 19121",19121,Verified,753801,Automobile Repairing & Service,81111104,General Automotive Repair,1 to 4,Single Loc,42,39.9858164,-75.169043
2012,A & R Travel,"1837 N Newkirk St, Philadelphia, PA 19121",19121,Verified,413101,Bus Lines,48521001,Interurban And Rural Bus Transportation,5 to 9,Single Loc,19,39.9839918,-75.1802305
2012,A & S One Inc,"2239 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,481207,Cellular Telephones (Services),51711214,Wireless Telecommunications Carriers (Except Satel,1 to 4,Single Loc,15,39.9807665,-75.172344
2012,A M Electric Inc,"3111 Morse St, Philadelphia, PA 19121",19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,1 to 4,Single Loc,15,39.9842648,-75.1850748
2012,Abeokuta Club USA Canada Inc,"2219 Ridge Ave, Philadelphia, PA 19121",19121,Verified,864108,Clubs,81341004,Civic And Social Organizations,1 to 4,Single Loc,16,39.9802011,-75.1716623
2012,Academic Center-Early Success,"1801 N 26th St, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,19,39.9827925,-75.1767523
2012,Ace Cash Express,"2129 W Diamond St, Philadelphia, PA 19121",19121,Verified,614113,Payday Loans,52229111,Consumer Lending,1 to 4,Branch,38,39.9864193,-75.169017
2012,Ace Check Exchange Inc,"2235 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,609903,Check Cashing Service,52232003,"Financial Transactions Processing, Reserve, And Cl",1 to 4,Single Loc,42,39.9806738,-75.1722362
2012,Ace Discount,"2135 W Diamond St, Philadelphia, PA 19121",19121,Verified,508702,Beauty Salons-Equipment & Supplies (Whls),42385091,Service Establishment Equipment And Supplies Merch,5 to 9,Single Loc,33,39.9864234,-75.1690496
2012,Acts Christian Transitional,"1429 N Newkirk St, Philadelphia, PA 19121",19121,Verified,832218,Social Service & Welfare Organizations,62419012,Other Individual And Family Services,5 to 9,Single Loc,18,39.9778737,-75.1815536
2012,Acts Recovery House,"1428 N 28th St, Philadelphia, PA 19121",19121,Verified,839901,Drug Abuse & Addiction Info & Treatment,81331904,Other Social Advocacy Organizations,5 to 9,Single Loc,25,39.9779569,-75.1812776
2012,Ad Vantage Media Group,"1220 N Broad St, Philadelphia, PA 19121",19121,Verified,733603,Graphic Designers,54143006,Graphic Design Services,1 to 4,Single Loc,16,39.9728561,-75.1594785
2012,Adam Analysis & Logic LLC,"2111 W Master St, Philadelphia, PA 19121",19121,Verified,865101,Political Organizations,81394003,Political Organizations,1 to 4,Single Loc,16,NA,NA
2012,Adelaide's Variety Shop,"1704 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,593205,Clothing-Used,45951013,Used Merchandise Retailers,1 to 4,Single Loc,26,39.9791735,-75.1629791
2012,Adjidja African Hair Braiding,"1230 N Broad St, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,26,39.9725931,-75.1592996
2012,Advanced Transportation Co,"1445 N 32nd St, Philadelphia, PA 19121",19121,Verified,421401,Movers,48411009,"General Freight Trucking, Local",20 to 49,Branch,42,39.9788201,-75.1873681
2012,Afifa,"1422 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,533101,Variety Stores,45521903,All Other General Merchandise Retailers,1 to 4,Single Loc,17,39.9862562,-75.1573217
2012,Airbrush Underground,"1849 N Croskey St, Philadelphia, PA 19121",19121,Verified,395298,Lead Pencils Crayons/Artists Mtrl (Mfrs),33994008,Office Supplies (Except Paper) Manufacturing,1 to 4,Single Loc,17,39.9830716,-75.1709557
2012,Albert F Sulla Restaurant,"2101 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,1 to 4,Single Loc,34,39.9879371,-75.1677135
2012,All Season Deli,"1216 N Broad St, Philadelphia, PA 19121",19121,Verified,581209,NA,NA,NA,1 to 4,Single Loc,20,39.9722445,-75.1596319
2012,Alliance Of Black Social Wrkrs,"1924 W Diamond St, Philadelphia, PA 19121",19121,Verified,863101,Labor Organizations,81393001,Labor Unions And Similar Labor Organizations,1 to 4,Single Loc,25,39.9858027,-75.1655052
2012,AME Union Church Credit Union,"1614 W Jefferson St, Philadelphia, PA 19121",19121,Verified,606102,Federally Chartered Credit Unions,52213006,Credit Unions,5 to 9,Single Loc,38,39.9761688,-75.1623242
2012,American Legion,"1718 N 24th St, Philadelphia, PA 19121",19121,Verified,864102,Veterans' & Military Organizations,81341003,Civic And Social Organizations,1 to 4,Branch,20,39.9813153,-75.1741649
2012,Amos Playground,"1817 N 16th St, Philadelphia, PA 19121",19121,Verified,912104,Government Offices-City/Village & Twp,92112006,Legislative Bodies,10 to 19,Single Loc,42,39.9809461,-75.1606197
2012,Andrew H Lawson Co,"2927 W Thompson St, Philadelphia, PA 19121",19121,Verified,275202,Printers (Mfrs),32311109,Commercial Printing (Except Screen And Books),10 to 19,Single Loc,26,39.9767863,-75.1843644
