"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2012","Temple Town Realty","1429 N 15th St","19121","Verified","655202","Real Estate Developers","23721005","Land Subdivision","1 to 4","Single Loc","18"
"2012","Temple University","1700 N Broad St","19121","Verified","799941","Sports-Motivational Training","71121902","Other Spectator Sports","5 to 9","Single Loc","24"
"2012","Temple University Camus Rec","1701 N 15th St","19121","Verified","822101","Schools-Universities & Colleges Academic","61131009","Colleges, Universities, And Professional Schools","1 to 4","Single Loc","17"
"2012","Temple University Sm Bus Dvmnt","1510 Cecil B Moore Ave # 2","19121","Verified","874201","Business Management Consultants","54161401","Process, Physical Distribution, And Logistics Cons","20 to 49","Single Loc","26"
"2012","Temple Villas LLC","1720 Fontain St","19121","Verified","738967","Incentive Programs","56199010","All Other Support Services","1 to 4","Single Loc","15"
"2012","Templetown Realty","1609 W Oxford St","19121","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","5 to 9","Single Loc","17"
"2012","Tempo Rainbow","2156 N Broad St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Single Loc","19"
"2012","Thermotics","1900 Cecil B Moore Ave","19121","Verified","171117","Air Conditioning Contractors & Systems","23822002","Plumbing, Heating, And Air-Conditioning Contractor","1 to 4","Single Loc","20"
"2012","Thompson's Market","1262 N 29th St","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","33"
"2012","Thornton Insurance","1428 N Broad St","19121","Verified","738911","License Services","56149904","All Other Business Support Services","1 to 4","Single Loc","15"
"2012","Three Sisters Grocery Store","2500 W Master St","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","26"
"2012","Tjs Autobotz","3127 W Master St","19121","Verified","753201","Automobile Body-Repairing & Painting","81112102","Automotive Body, Paint, And Interior Repair And Ma","1 to 4","Single Loc","15"
"2012","Together","2201 Ridge Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Single Loc","23"
"2012","Tomorrow Gift","2246 Ridge Ave","19121","Verified","594712","Gift Shops","45942013","Gift, Novelty, And Souvenir Retailers","1 to 4","Single Loc","38"
"2012","Top Locksmith","1643 W Diamond St","19121","Verified","769962","Locks & Locksmiths","56162204","Locksmiths","1 to 4","Single Loc","15"
"2012","Tower Investments Inc","1600 N Broad St","19121","Verified","621111","Investments","52391001","Miscellaneous Intermediation","1 to 4","Single Loc","21"
"2012","Tree House Books","1430 W Susquehanna Ave","19121","Verified","078301","Tree Service","56173022","Landscaping Services","1 to 4","Single Loc","21"
"2012","Twenty Ninth Street Grill","2017 N 29th St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","10 to 19","Single Loc","27"
"2012","U-Haul Neighborhood Dealer","1901 N 20th St","19121","Verified","751303","Truck Renting & Leasing","53212016","Truck, Utility Trailer, And Rv (Recreational Vehic","1 to 4","Branch","42"
"2012","U-Haul Neighborhood Dealer","2022 Ridge Ave","19121","Verified","751303","Truck Renting & Leasing","53212016","Truck, Utility Trailer, And Rv (Recreational Vehic","1 to 4","Branch","16"
"2012","Umoja Tours","1521 N Hollywood St","19121","Verified","472402","Travel Agencies & Bureaus","56151007","Travel Agencies","1 to 4","Single Loc","17"
"2012","Union Pacific Railroad Co","3157 W Thompson St","19121","Verified","401101","Railroads","48211102","Line-Haul Railroads","5 to 9","Branch","19"
"2012","Unique Performance Beauty Sln","1556 N 28th St","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","34"
"2012","United States Air Force","1600 N Broad St","19121","Verified","971101","Federal Government-National Security","92811003","National Security","5 to 9","Branch","17"
"2012","Unity Mission Church Home Schl","1530 N 16th St","19121","Verified","822298","Junior-Community College-Tech Institutes","61121002","Junior Colleges","5 to 9","Single Loc","42"
"2012","University Thrift Shop","1723 Cecil B Moore Ave","19121","Verified","593222","Thrift Shops","45951040","Used Merchandise Retailers","1 to 4","Single Loc","15"
"2012","Urban Pioneers","1733 W Montgomery Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","1 to 4","Single Loc","17"
"2012","Us Facilities Inc","1981 N Woodstock St","19121","Verified","734911","Building Maintenance","23899052","All Other Specialty Trade Contractors","1 to 4","Single Loc","20"
"2012","Usmc Recruiting","1600 N Broad St # 3","19121","Verified","736105","Executive Search Consultants","56131201","Executive Search Services","1 to 4","Single Loc","18"
"2012","Variety Store","2101 W Susquehanna Ave","19121","Verified","531102","Department Stores","45511001","Department Stores","50 to 99","Single Loc","16"
"2012","Vaux Family Health Ctr","2300 W Master St","19121","Verified","832259","Health Care Instruction","62419025","Other Individual And Family Services","5 to 9","Single Loc","23"
