"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2022","Servicemaster True Image","1428 N Broad St","19121","Verified","734915","Cleaning Services-Industrial","56172008","Janitorial Services","1 to 4","Branch","7"
"2022","Shah, Vishal S","2144 Cecil B Moore Ave","19121","Verified","832282","Counselors","62419036","Other Individual And Family Services","1 to 4","Single Loc","6"
"2022","Shake Rattle & Roll","1214 N Broad St","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","17"
"2022","Sharon's After-School & Summer","1614 W Jefferson St","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","12"
"2022","Sharswood","1425 N 23rd St","19121","Verified","651401","Townhouses","53111009","Lessors Of Residential Buildings And Dwellings","1 to 4","Single Loc","25"
"2022","Sharswood II","1450 N 21st St","19121","Verified","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","19"
"2022","Shields, Shaun","1814 N Broad St","19121","Verified","804918","Physical Therapists","62134007","Offices Of Physical, Occupational And Speech Thera","1 to 4","Single Loc","6"
"2022","Shin's Market","2248 Ridge Ave","19121","Verified","542101","Seafood-Retail","44525004","Fish And Seafood Retailers","1 to 4","Single Loc","42"
"2022","Shinder Auto Repair","1247 N 26th St","19121","Verified","753801","Automobile Repairing & Service","81111104","General Automotive Repair","1 to 4","Single Loc","15"
"2022","Shipping Bargain","1776 N Broad St","19121","Verified","531104","Retail Shops","45511003","Department Stores","1 to 4","Single Loc","6"
"2022","Shizzs Steaks & Hoagies","2042 N Bambrey St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","8"
"2022","Shober, Evelyn D Cnp","1700 N Broad St","19121","Verified","804907","Nurses-Practitioners","62139923","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","9"
"2022","Shoemaker Construction Co","2013 Ridge Ave","19121","Verified","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Branch","9"
"2022","Sidberry Beauty Salon","1643 N 29th St","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","42"
"2022","Sigma Alpha Mu Fraternity Inc","2012 N Broad St","19121","Verified","864107","Fraternities & Sororities","81341006","Civic And Social Organizations","1 to 4","Single Loc","8"
"2022","Silk Tent","1346 N Broad St","19121","Verified","599988","Craft Galleries & Dealers","45521987","All Other General Merchandise Retailers","1 to 4","Single Loc","14"
"2022","Simple University","1700 N Broad St # 2","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","9"
"2022","Sips & Tips Wellness Loft","2149 Ridge Ave","19121","Verified","809921","Wellness Programs","62199952","All Other Miscellaneous Ambulatory Health Care Ser","10 to 19","Single Loc","8"
"2022","Skies The Limit Day Care","1346 N 27th St","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","14"
"2022","Skyeline LLC","1238 N 28th St # 2c","19121","Verified","999966","Federal Government Contractors","99999005","Unclassified Establishments","5 to 9","Single Loc","6"
"2022","Skyline Apartments","1417 N 15th St","19121","Verified","653132","Housing Authorities","53131106","Residential Property Managers","1 to 4","Single Loc","6"
"2022","Smart Start Daycare & Learning","2139 Ridge Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","9"
"2022","Smith Memorial Playground","3500 Reservoir Dr","19121","Verified","799956","Playgrounds","71219006","Nature Parks And Other Similar Institutions","10 to 19","Single Loc","32"
"2022","Smokes N Things","1723 Cecil B Moore Ave","19121","Verified","599301","Cigar Cigarette & Tobacco Dealers-Retail","45999102","Tobacco, Electronic Cigarette, And Other Smoking S","1 to 4","Single Loc","7"
"2022","Sophisticated Investments","1924 N 18th St","19121","Verified","621111","Investments","52391001","Miscellaneous Intermediation","5 to 9","Single Loc","14"
"2022","Sophisticuts Dominican Beauty","2836 Ridge Ave","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","15"
"2022","Spergo","2943 W Master St","19121","Verified","565101","Clothing-Retail","45811041","Clothing And Clothing Accessories Retailers","1 to 4","Single Loc","6"
"2022","St Elizabeth's","1850 N Croskey St","19121","Verified","832241","Homeless Shelters","62422102","Temporary Shelters","5 to 9","Single Loc","20"
"2022","St Elizabeth's Philadelphia","1845 N 23rd St","19121","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","30"
"2022","Star Perfumers","1415 W Susquehanna Ave","19121","Verified","512204","Cosmetics-Wholesale","42421002","Drugs And Druggists' Sundries Merchant Wholesalers","1 to 4","Single Loc","15"
"2022","Starspirit International","1730 N 27th St","19121","Verified","869903","Organizations","81341018","Civic And Social Organizations","5 to 9","Single Loc","17"
"2022","Stephen Klein Wellness Ctr","2144 Cecil B Moore Ave","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","6"
"2022","Stephen Klein Wellness Ctr","2144 Cecil B Moore Ave","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","6"
"2022","Stephen Klein Wellness Ctr","2144 Cecil B Moore Ave","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","10"
"2022","Stepping Stones Learning Acad","2329 Ridge Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","15"
"2022","Steward, Norvetta N","1524 N Gratz St","19121","Verified","832282","Counselors","62419036","Other Individual And Family Services","1 to 4","Single Loc","8"
"2022","Stop 19 Supermarket","1900 Cecil B Moore Ave","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","12"
"2022","Strauch, Kimberly A","2144 Cecil B Moore Ave","19121","Verified","804908","Nurses-Registered Rn","62139920","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","10"
"2022","Strauss, Alexander S MD","1816 N 15th St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","8"
"2022","Strawberry Green Driving Range","1500 N 33rd St","19121","Verified","799201","Golf Courses","71391002","Golf Courses And Country Clubs","20 to 49","Single Loc","15"
"2022","Streamwood Associates Flats","3018 W Thompson St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","1 to 4","Single Loc","6"
"2022","Strictly Seafood","1707 Cecil B Moore Ave","19121","Verified","542101","Seafood-Retail","44525004","Fish And Seafood Retailers","5 to 9","Single Loc","9"
"2022","Subway","1511 Cecil B Moore Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","5 to 9","Branch","22"
"2022","Sullivan Sisters Cleaning Svc","1922 Page St","19121","Verified","734915","Cleaning Services-Industrial","56172008","Janitorial Services","1 to 4","Single Loc","8"
"2022","Sultan Jihad Ahmad Cmnty Fndtn","1901 W Oxford St","19121","Verified","873303","Foundation-Educ Philanthropic Research","54172006","Research And Development In The Social Sciences An","1 to 4","Single Loc","20"
"2022","Sun's Cleaners","1220 N Broad St","19121","Verified","721201","Cleaners","81232002","Drycleaning And Laundry Services (Except Coin-Oper","1 to 4","Single Loc","36"
"2022","Sunny Nails Co","1725 Cecil B Moore Ave # A","19121","Verified","723102","Manicuring","81211302","Nail Salons","1 to 4","Single Loc","14"
"2022","Sunoco Gas Station","1701 N 33rd St","19121","Verified","554101","Service Stations-Gasoline & Oil","45712003","Other Gasoline Stations","5 to 9","Branch","6"
"2022","Sunoco Gas Station","1300 N Broad St","19121","Verified","554101","Service Stations-Gasoline & Oil","45712003","Other Gasoline Stations","1 to 4","Branch","24"
"2022","Susquehanna Mini Mrkt","1806 W Susquehanna Ave","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","15"
"2022","Susquehanna Village LP","1421 W Susquehanna Ave # B","19121","Verified","734908","Property Maintenance","23899081","All Other Specialty Trade Contractors","5 to 9","Single Loc","19"
"2022","T & G Construction","1610 W Susquehanna Ave","19121","Verified","152103","General Contractors","23611505","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","23"
"2022","T & Y Deli","1542 W Diamond St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","7"
"2022","T-Mobile","1600 N Broad St # 8","19121","Verified","481207","Cellular Telephones (Services)","51711214","Wireless Telecommunications Carriers (Except Satel","5 to 9","Branch","13"
"2022","Takka A's","2310 Cecil B Moore Ave","19121","Verified","581222","Pizza","72251115","Full-Service Restaurants","5 to 9","Single Loc","17"
"2022","Tall Legal Group","1410 N 31st St","19121","Verified","811103","Attorneys","54111002","Offices Of Lawyers","5 to 9","Single Loc","6"
"2022","Tang's Halal Chinese Rstrnt","2223 Ridge Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","8"
"2022","Tasty Chicken","1428 Cecil B Moore Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","13"
"2022","Taylor, Laura M","1600 N 18th St","19121","Verified","832221","Social Workers","62133003","Offices Of Mental Health Practitioners (Except Phy","","Single Loc","4"
"2022","Teach Solias N 15th","1326 N 15th St","19121","Verified","792212","Theatrical Equipment & Supplies","53249013","Other Commercial And Industrial Machinery And Equi","5 to 9","Single Loc","13"
"2022","Telcel.Com","1700 N Broad St","19121","Verified","731917","Advertising-Computer","54189002","Other Services Related To Advertising","10 to 19","Single Loc","13"
"2022","Temple Nest Apartments","1504 N Carlisle St","19121","Verified","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","12"
"2022","Temple Reserv LLC","1821 N 17th St","19121","Verified","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","15"
"2022","Temple Resev LLC","1835 N 17th St","19121","Verified","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","12"
"2022","Temple Resev LLC","1833 N 17th St","19121","Verified","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","14"
"2022","Temple Star Chinese Restaurant","1412 W Diamond St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","23"
"2022","Temple Town Realty","1525 N 16th St # 1r","19121","Verified","655202","Real Estate Developers","23721005","Land Subdivision","1 to 4","Single Loc","24"
"2022","Temple Univ Student Health","1700 N Broad St # 4","19121","Verified","804907","Nurses-Practitioners","62139923","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","17"
"2022","Temple University","1700 N Broad St","19121","Verified","822113","University-College Dept/Facility/Office","61131013","Colleges, Universities, And Professional Schools","","Single Loc","5"
"2022","Temple University Sm Bus Dvmnt","1510 Cecil B Moore Ave # 200","19121","Verified","822119","University & College-Off Campus Classes","61131019","Colleges, Universities, And Professional Schools","20 to 49","Branch","14"
"2022","Temple University Student Hlth","1700 N Broad St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","21"
"2022","Temple University-Sm Bus Dvmnt","1510 Cecil B Moore Ave # 2","19121","Verified","824401","Schools-Business & Secretarial","61141004","Business And Secretarial Schools","1 to 4","Single Loc","20"
"2022","Temple Villas","1848 N 17th St","19121","Verified","506324","Burglar Alarm Systems (Whls)","42361007","Electrical Apparatus And Equipment, Wiring Supplie","1 to 4","Single Loc","13"
"2022","Temple Villas","1611 N 17th St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","14"
"2022","Temple Villas 1415 N 15th St","1415 N 15th St","19121","Verified","482201","Facsimile Transmission Service","51711102","Wired Telecommunications Carriers","1 to 4","Single Loc","11"
"2022","Temple Villas 1430 N Carlisle","1430 N Carlisle St","19121","Verified","482201","Facsimile Transmission Service","51711102","Wired Telecommunications Carriers","1 to 4","Single Loc","11"
"2022","Temple Villas 2036 N Carlisle","2036 N Carlisle St","19121","Verified","866141","Synagogues Jewish","81311041","Religious Organizations","1 to 4","Single Loc","11"
"2022","Temple Villas Alarm 1820","1820 N 17th St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","13"
"2022","Temple Villas Alrm 1818","1818 N 17th St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","12"
"2022","Temple Villas I LLC","1700 N 17th St","19121","Verified","738967","Incentive Programs","56199010","All Other Support Services","5 to 9","Single Loc","14"
